period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
6/1/2020,6/30/2020,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,Single Family Residential,6,266000,0.064,0.037259451,289000,0.043698086,0.098863494,117.9164282,0.020417149,0.038282856,124.1671714,0.015536705,0.073647063,8913,0.426993276,0.121837634,8152,0.081453967,0.158119051,10032,0.046089677,-0.041284404,20370,-0.075351793,-0.247534262,2.3,-1.2,-1.1,41,-1,9,0.978244701,0.001144475,0.0002682,0.151351958,0.004698099,-0.002707199,0.294894453,0.042783695,-0.030693815,0.496074583,0.04396527,0.064763317,"Houston, TX",26420,9/24/2023 14:28
4/1/2018,4/30/2018,30,metro,-2,38060,f,"Phoenix, AZ metro area",,,AZ,All Residential,-1,257500,0.001945525,0.093418259,277500,0.005434783,0.083984375,149.1803279,0.008210383,0.088033769,154.7162859,0.003752017,0.081221921,8896,-0.049471097,0.03369742,7917,0.041573477,0.096689292,9828,-0.07081403,0.041101695,20398,-0.01392246,-0.115284525,2.3,0.1,-0.4,40,-2,-5,0.983936517,0.000174513,0.002589492,0.174235612,0.012145645,0.015509142,0.257280126,-0.009276966,0.012311354,0.304281925,-0.008966332,0.021832832,"Phoenix, AZ",38060,9/24/2023 14:28
6/1/2019,6/30/2019,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Single Family Residential,6,264900,0.018846154,0.038823529,280000,-0.034482759,0.018552201,113.2470226,0.002644543,0.037668368,117.8373383,-0.015244679,0.048309228,8892,-0.074906367,-0.042016807,8596,-0.068083261,0.041434456,12356,-0.125672233,-0.053905054,30721,0.019073841,0.033194323,3.5,0.4,0.3,26,1,4,0.98250343,-0.000625578,-0.002260054,0.221210076,-0.008294709,-0.035738857,0.285342274,0.003248464,0.024193421,0.42787343,-0.011740621,-0.015426789,"Atlanta, GA",12060,9/24/2023 14:28
6/1/2017,6/30/2017,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,All Residential,-1,238000,0.012765957,0.034782609,249000,-0.003601441,0.0375,106.5278415,0.008266999,0.036363716,108.5315408,-0.00677196,0.033120727,8875,0.031377106,0.06020786,7484,-0.020162346,0.102046827,11703,-0.018204698,0.097945398,28947,0.05430507,0.120196587,3.3,0.1,0.2,30,0,-1,0.973749485,-0.000912822,-0.000888405,0.146253521,-0.014002144,-0.022304596,0.328773275,0.02264711,0.031106776,0.414484233,-0.033015112,-0.04583089,"Houston, TX",26420,9/24/2023 14:28
5/1/2016,5/31/2016,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,Single Family Residential,6,219000,0.018604651,0.026530421,249000,-0.004,0.082608696,94.28060769,0.024382205,0.055876596,99.07708289,-0.009427444,0.044412533,8869,0.133708296,0.149280809,7503,0.01776994,0.180459408,12794,-0.039633689,0.007242954,35864,0.041014775,-0.034824264,4,-0.4,-0.8,42,-5,0,0.978979094,0.002881435,0.004188138,0.221670989,0.017018042,0.035717898,0.394127816,0.037447313,-0.134883433,0.334399574,-0.048264561,0.01375766,"Atlanta, GA",12060,9/24/2023 14:28
9/1/2019,9/30/2019,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,249900,0,0.063404255,269900,0.011240165,0.038476337,116.3542618,0.002124166,0.064375073,122.7747084,0.004799515,0.044891135,8868,-0.139279821,0.052082098,8263,-0.103504394,0.051807536,12608,-0.102377901,0.049180328,36688,-0.00206724,0.026122951,4.1,0.5,-0.1,34,4,3,0.980583845,-0.00032341,-0.000100277,0.197789806,-0.004093141,-0.014216363,0.272650458,-0.007052512,0.034830913,0.353745613,-0.018826808,-0.005979438,"Atlanta, GA",12060,9/24/2023 14:28
3/1/2021,3/31/2021,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,Single Family Residential,6,294965,0.053446429,0.17750499,315000,0.050350117,0.145454545,130.6385472,0.034089142,0.134259749,137.6823028,0.017241216,0.135603633,8861,0.546422339,0.236533631,8536,0.40233284,0.468432823,9604,0.417983168,-0.003010485,11050,-0.086021505,-0.535558171,1.2,-0.9,-2.1,23,-8,-26,0.988494584,0.003912376,0.012347487,0.274009705,0.049227856,0.137392346,0.220361991,0.061222206,-0.029511916,0.635309278,0.046349199,0.17702612,"Houston, TX",26420,9/24/2023 14:28
4/1/2016,4/30/2016,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,231000,0.097387173,0.1,259000,0,0.057142857,139.3762183,0.065286339,0.073195984,153.0781144,0.009664159,0.053605915,8852,0.20879421,0.103190429,9335,0.11849988,0.079814922,14295,0.013398554,-0.036854871,31864,0.051721293,-0.085786423,3.6,-0.5,-0.7,41,-22,-11,0.971975596,0.002758209,0.004210616,0.197017623,0.000513458,-1.63E-05,0.249184032,0.013088049,-0.010757438,0.439314408,-0.011320627,0.019765536,"Chicago, IL",16984,9/24/2023 14:28
9/1/2021,9/30/2021,30,metro,-2,38060,f,"Phoenix, AZ metro area",,,AZ,All Residential,-1,418300,0.015291262,0.259939759,429900,0.011529412,0.264411765,241.6846905,0.01833804,0.307110279,246.0747952,0.025040009,0.270691232,8845,0.046126552,-0.018421929,8534,-0.075005419,-0.00570896,9473,-0.051656823,-0.049086529,11958,0.026702155,-0.120541296,1.4,0,-0.1,26,0,-6,1.01079111,-0.004486204,0.014787886,0.49745619,-0.034536714,0.150657832,0.226459274,-0.005360078,0.042595186,0.35622217,-0.045143535,-0.019870105,"Phoenix, AZ",38060,9/24/2023 14:28
5/1/2023,5/31/2023,30,metro,-2,26420,f,"Houston, TX metro area",,,TX,All Residential,-1,340000,0.021021021,-0.028571429,350000,-0.008498584,-0.025069638,164.1626879,0.010855892,-0.01614512,168.5611228,-0.00234711,0.009189187,8844,0.185999732,-0.125568519,8026,0.105205178,-0.170010341,10844,0.13395378,-0.128155652,20462,0.025098943,0.288295662,2.3,-0.4,0.7,27,-8,16,0.982388848,0.000976774,-0.027248397,0.212008141,0.012329986,-0.251903269,0.327973805,0.062055264,0.038104133,0.494642412,-0.009075572,-0.162648177,"Houston, TX",26420,9/24/2023 14:28
